rank,id,county_name,media_market,enrollment_score
242,857f4aeeeb2d1b365436118c8e6ac208,brazoria,houston tx,0.8266717004455415
243,a8340c75c680ca27f8e097cf96b0a8bf,trinity,houston tx,0.8250921772401856
244,ece48ea299a118adca65b66caf6f7262,calhoun,houston tx,0.8245115746828731
245,aa79216a5c4b77d01f871efdeb881f1c,galveston,houston tx,0.8244931866546794
246,eaf8d8662e4900ac8dad322431172e55,waller,houston tx,0.8242459941053604
247,8d80ec409153ec08bb13b2589903f371,harris,houston tx,0.8241569452796751
248,050ca592087f8328138db43a5cbd2639,harris,houston tx,0.8238655255437572
249,d6aa68698abd6e302d38ea4a53ebbc0d,fort bend,houston tx,0.8234198925443383
250,8e50a141df8b4b0eb5c8c8aae5b621fa,montgomery,houston tx,0.8232417858937183
251,01cb5178639c7acbbd6ab766409a3244,san jacinto,houston tx,0.8229842815516837
252,013d56187ef060abe1a20f1b0ae7377b,harris,houston tx,0.8226853304978737
253,98283296811c44170c45773defe2d4e8,fort bend,houston tx,0.8220192380770184
254,cc14a8d04401c17ed6822cb5b9db4aea,harris,houston tx,0.8219327484910961
255,befa0c0ceb5411efe33eb06f141d3101,harris,houston tx,0.8211424575251809
256,1dfd6ffb0cc1b45b8e788aee54fc3551,harris,houston tx,0.8202525632016389
257,910919a9fabc4a817dc3994a31d39b4e,brazoria,houston tx,0.8197229252598752
258,13c8b84f17b0302def1d6ca2bc0d77d0,wharton,houston tx,0.8185922260350174
259,fadee0339aaf58db1c2422395f65f5fc,harris,houston tx,0.8185488983252935
260,b24e3ebbcd5fe0dd12a9d22e2885c4d9,brazoria,houston tx,0.8181653711116214
261,f27826069030bd62693f08ca6bbdd636,san jacinto,houston tx,0.8174782431352059
262,0a9ee49be1830c6375db5fc34431ee2d,harris,houston tx,0.8169253105527435
263,a73962ab6fdbe3cc925a3cb248da6a1a,harris,houston tx,0.8169079657265639
264,ced68a97ecec4eb08b4c44f9f19df6b3,harris,houston tx,0.8167130465692334
265,3357d2006d9e11c2c40839f9ae29a7fc,harris,houston tx,0.8161631875816254
266,70cf68b541a7c9b086b410479fa9ae06,harris,houston tx,0.8151902841340855
267,ea7383e6baa5ae4d0ac770c54e221393,walker,houston tx,0.8149515165776093
268,4c7a32fecb98e24f6bbd046f309ff047,harris,houston tx,0.814753273410158
269,706bf2aef4d53850f15d9ee8e1638c0e,fort bend,houston tx,0.8143765797537049
270,2cde427bbb74b31415a6c35d1926fadd,fort bend,houston tx,0.8140219056166135
271,db11417ca856e3e888a00f6fbd3a4f7a,montgomery,houston tx,0.8139278243832546
272,3d37367c39cf4f3920133572e237361e,montgomery,houston tx,0.8133147009796745
273,6bcefaf059479349c9d24d77302849f4,chambers,houston tx,0.8116723166682107
274,c2af728a6097bfae586dab7e08764cab,austin,houston tx,0.8114646600247908
275,bac97fcb71773f67888ec974aa070daa,harris,houston tx,0.8114008334886196
276,220a72b3f977f9dd4371ba3472a456e9,harris,houston tx,0.8109087540413602
277,a0a44fcf4f56152b653135c7d765f8fd,harris,houston tx,0.8106006963327862
278,aa787c742e927b7bdba81398170298ac,walker,houston tx,0.8104907392975462
279,54902ae9be83d1c14006c25dfae77a5e,harris,houston tx,0.8092705703620893
280,27b7a48802f3aec721f8623fb815793b,harris,houston tx,0.8065272265409453
281,86fcf94197ab67f908fc91638a1ad782,harris,houston tx,0.8060894297595034
282,c6284c7cdb07a8e2979919baef555600,harris,houston tx,0.8049440719327887
283,ea293a613405e056a4bdbf253d26bbef,harris,houston tx,0.804855328383672
284,d5a843585391db2c55ead629670f9764,montgomery,houston tx,0.8037448365781898
285,e20692457c493916aeaba3f1c86d3938,harris,houston tx,0.8025428796273892
286,5c7d8f64f07ed5c943cdc56dcc72b375,matagorda,houston tx,0.8023820485066651
287,c50fcba77e8829fb5e06ee85f1c70206,harris,houston tx,0.8020121965071696
288,c5c55acf9a51842ee72c42a55eef6ea9,fort bend,houston tx,0.8019618284689374
